Change Component Designator: OldDesignator=C1000 NewDesignator=C145
Change Component Designator: OldDesignator=C1001 NewDesignator=C146
Change Component Designator: OldDesignator=C1002 NewDesignator=C147
Change Component Designator: OldDesignator=C1003 NewDesignator=C148
Change Component Designator: OldDesignator=C1004 NewDesignator=C149
Change Component Designator: OldDesignator=C1005 NewDesignator=C150
Change Component Designator: OldDesignator=C1006 NewDesignator=C151
Change Component Designator: OldDesignator=C1007 NewDesignator=C152
Change Component Designator: OldDesignator=C1008 NewDesignator=C153
Change Component Designator: OldDesignator=C1009 NewDesignator=C154
Change Component Designator: OldDesignator=C1010 NewDesignator=C155
Change Component Designator: OldDesignator=C1011 NewDesignator=C156
Change Component Designator: OldDesignator=C1012 NewDesignator=C157
Change Component Designator: OldDesignator=C1013 NewDesignator=C158
Change Component Designator: OldDesignator=C1014 NewDesignator=C159
Change Component Designator: OldDesignator=C1015 NewDesignator=C160
Change Component Designator: OldDesignator=C1016 NewDesignator=C161
Change Component Designator: OldDesignator=C1017 NewDesignator=C162
Change Component Designator: OldDesignator=C1018 NewDesignator=C163
Change Component Designator: OldDesignator=C1019 NewDesignator=C164
Change Component Designator: OldDesignator=C1020 NewDesignator=C165
Change Component Designator: OldDesignator=C1021 NewDesignator=C166
Change Component Designator: OldDesignator=C1022 NewDesignator=C167
Change Component Designator: OldDesignator=C1023 NewDesignator=C168
Change Component Designator: OldDesignator=C1024 NewDesignator=C169
Change Component Designator: OldDesignator=D1000 NewDesignator=D45
Change Component Designator: OldDesignator=D1001 NewDesignator=D46
Change Component Designator: OldDesignator=D1002 NewDesignator=D47
Change Component Designator: OldDesignator=D1003 NewDesignator=D48
Change Component Designator: OldDesignator=D1004 NewDesignator=D49
Change Component Designator: OldDesignator=D1005 NewDesignator=D50
Change Component Designator: OldDesignator=D1006 NewDesignator=D51
Change Component Designator: OldDesignator=D1007 NewDesignator=D52
Change Component Designator: OldDesignator=FB1000 NewDesignator=FB22
Change Component Designator: OldDesignator=FB1001 NewDesignator=FB23
Change Component Designator: OldDesignator=FB1002 NewDesignator=FB24
Change Component Designator: OldDesignator=FB1003 NewDesignator=FB25
Change Component Designator: OldDesignator=R1000 NewDesignator=R86
Change Component Designator: OldDesignator=R1001 NewDesignator=R87
Change Component Designator: OldDesignator=R1002 NewDesignator=R88
Change Component Designator: OldDesignator=R1003 NewDesignator=R89
Change Component Designator: OldDesignator=R1004 NewDesignator=R90
Change Component Designator: OldDesignator=R1005 NewDesignator=R91
Change Component Designator: OldDesignator=R1006 NewDesignator=R92
Change Component Designator: OldDesignator=R1007 NewDesignator=R93
Change Component Designator: OldDesignator=R1008 NewDesignator=R94
Change Component Designator: OldDesignator=T1000 NewDesignator=T6
Change Component Designator: OldDesignator=U1000 NewDesignator=U23
Change Component Designator: OldDesignator=U1001 NewDesignator=U24
Change Component Designator: OldDesignator=U1002 NewDesignator=U25
Change Component Designator: OldDesignator=U1003 NewDesignator=U26
Added Pin To Net: NetName=GND_USH1 Pin=C145-1
Added Pin To Net: NetName=+5V_USH1 Pin=C145-2
Added Pin To Net: NetName=5V_LV Pin=C146-1
Added Pin To Net: NetName=GND_LV Pin=C146-2
Added Pin To Net: NetName=GND_USH1 Pin=C147-1
Added Pin To Net: NetName=+5V_USH1 Pin=C147-2
Added Pin To Net: NetName=5V_LV Pin=C148-1
Added Pin To Net: NetName=GND_LV Pin=C148-2
Added Pin To Net: NetName=GND_LV Pin=C150-1
Added Pin To Net: NetName=GND_USH1 Pin=C150-2
Added Pin To Net: NetName=GND_LV Pin=C151-1
Added Pin To Net: NetName=5V_LV Pin=C151-2
Added Pin To Net: NetName=GND_LV Pin=C152-1
Added Pin To Net: NetName=5V_LV Pin=C152-2
Added Pin To Net: NetName=GND_LV Pin=C153-1
Added Pin To Net: NetName=5V_LV Pin=C153-2
Added Pin To Net: NetName=GND_USH1 Pin=C154-1
Added Pin To Net: NetName=+6V_USH1 Pin=C154-2
Added Pin To Net: NetName=GND_USH1 Pin=C155-1
Added Pin To Net: NetName=+6V_USH1 Pin=C155-2
Added Pin To Net: NetName=GND_USH1 Pin=C156-1
Added Pin To Net: NetName=GND_USH1 Pin=C157-1
Added Pin To Net: NetName=+5V_USH1 Pin=C157-2
Added Pin To Net: NetName=GND_USH1 Pin=C158-1
Added Pin To Net: NetName=+5V_USH1 Pin=C158-2
Added Pin To Net: NetName=-6V_USH1 Pin=C159-1
Added Pin To Net: NetName=GND_USH1 Pin=C159-2
Added Pin To Net: NetName=-6V_USH1 Pin=C160-1
Added Pin To Net: NetName=GND_USH1 Pin=C160-2
Added Pin To Net: NetName=GND_USH1 Pin=C161-1
Added Pin To Net: NetName=+6V_USH1 Pin=C161-2
Added Pin To Net: NetName=GND_USH1 Pin=C162-1
Added Pin To Net: NetName=+6V_USH1 Pin=C162-2
Added Pin To Net: NetName=GND_USH1 Pin=C163-1
Added Pin To Net: NetName=-6V_USH1 Pin=C163-2
Added Pin To Net: NetName=GND_USH1 Pin=C164-1
Added Pin To Net: NetName=-6V_USH1 Pin=C164-2
Added Pin To Net: NetName=GND_USH1 Pin=C166-1
Added Pin To Net: NetName=-5V_USH1 Pin=C166-2
Added Pin To Net: NetName=GND_USH1 Pin=C167-1
Added Pin To Net: NetName=-5V_USH1 Pin=C167-2
Added Pin To Net: NetName=GND_USH1 Pin=C168-1
Added Pin To Net: NetName=GND_USH1 Pin=C169-1
Added Pin To Net: NetName=+5V_USH1 Pin=D45-1
Added Pin To Net: NetName=-5V_USH1 Pin=D45-2
Added Pin To Net: NetName=+5V_USH1 Pin=D46-1
Added Pin To Net: NetName=-5V_USH1 Pin=D46-2
Added Pin To Net: NetName=+6V_USH1 Pin=D47-2
Added Pin To Net: NetName=+5V_USH1 Pin=D48-A
Added Pin To Net: NetName=+5V_USH1 Pin=D49-1
Added Pin To Net: NetName=GND_USH1 Pin=D49-2
